Variables,RTM_ens37_case_0,RTM_ens37_case_1,RTM_ens37_case_2
Gross Primary Productivity,0.4979301658472868,0.5169611411514934,0.482824015182822
Evapotranspiration,0.6720594135482735,0.675303892126701,0.6685656349696354
