Variables,ctsm51fates_derecho_norman_nocomp,ctsm51fates_derecho_2s_sp,ctsm51fates_derecho_norman_sp,RTM_ens36_case_0
Gross Primary Productivity,0.5756502788232915,0.6715229576662473,0.6706502615774877,0.5101114401513638
Evapotranspiration,0.628351003248366,0.6795052537241137,0.6740960096924253,--
