"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","ctsm51fates_derecho_norman_sp","Spatial Distribution Score","MeanState","global","score","1","0.961368","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","ctsm51fates_derecho_norman_sp","Phase Shift","MeanState","global","scalar","months","0.844598","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","ctsm51fates_derecho_norman_sp","Seasonal Cycle Score","MeanState","global","score","1","0.82622","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","ctsm51fates_derecho_norman_sp","Bias","MeanState","global","scalar","g m-2 d-1","0.615392","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","ctsm51fates_derecho_norman_sp","Bias Score","MeanState","global","score","1","0.483189","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","ctsm51fates_derecho_norman_sp","RMSE","MeanState","global","scalar","g m-2 d-1","1.40277","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","ctsm51fates_derecho_norman_sp","RMSE Score","MeanState","global","score","1","0.541237","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","ctsm51fates_derecho_norman_sp","Overall Score","MeanState","global","score","1","0.67065","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_1","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","112.456","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_1","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg yr-1","1.90171","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_1","Period Mean (original grids)","MeanState","global","scalar","Pg yr-1","50.5684","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_1","Model Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","41.1831","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_1","Model Period Mean (complement)","MeanState","global","scalar","Pg yr-1","9.37265","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_1","Spatial Distribution Score","MeanState","global","score","1","0.628765","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_1","Phase Shift","MeanState","global","scalar","months","1.64297","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_1","Seasonal Cycle Score","MeanState","global","score","1","0.747098","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_1","Bias","MeanState","global","scalar","g m-2 d-1","-1.47767","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_1","Bias Score","MeanState","global","score","1","0.277782","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_1","RMSE","MeanState","global","scalar","g m-2 d-1","2.14856","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_1","RMSE Score","MeanState","global","score","1","0.419543","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_1","Overall Score","MeanState","global","score","1","0.498546","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_0","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","112.456","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_0","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg yr-1","1.90171","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_0","Period Mean (original grids)","MeanState","global","scalar","Pg yr-1","53.793","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_0","Model Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","43.7133","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_0","Model Period Mean (complement)","MeanState","global","scalar","Pg yr-1","10.0659","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_0","Spatial Distribution Score","MeanState","global","score","1","0.695499","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_0","Phase Shift","MeanState","global","scalar","months","1.75178","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_0","Seasonal Cycle Score","MeanState","global","score","1","0.730347","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_0","Bias","MeanState","global","scalar","g m-2 d-1","-1.40582","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_0","Bias Score","MeanState","global","score","1","0.29","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_0","RMSE","MeanState","global","scalar","g m-2 d-1","2.11867","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_0","RMSE Score","MeanState","global","score","1","0.417356","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","RTM_ens36_case_0","Overall Score","MeanState","global","score","1","0.510111","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_2s_sp","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","1.55493","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_2s_sp","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","2.22002","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_2s_sp","Period Mean (original grids)","MeanState","global","scalar","mm d-1","1.17034","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_2s_sp","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","1.42501","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_2s_sp","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","0.644709","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_2s_sp","Spatial Distribution Score","MeanState","global","score","1","0.961268","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_2s_sp","Phase Shift","MeanState","global","scalar","months","1.3117","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_2s_sp","Seasonal Cycle Score","MeanState","global","score","1","0.791734","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_2s_sp","Bias","MeanState","global","scalar","mm d-1","-0.096395","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_2s_sp","Bias Score","MeanState","global","score","1","0.519746","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_2s_sp","RMSE","MeanState","global","scalar","mm d-1","0.662902","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_2s_sp","RMSE Score","MeanState","global","score","1","0.562389","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_2s_sp","Overall Score","MeanState","global","score","1","0.679505","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_nocomp","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","1.55493","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_nocomp","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","2.22002","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_nocomp","Period Mean (original grids)","MeanState","global","scalar","mm d-1","1.02984","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_nocomp","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","1.24912","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_nocomp","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","0.577292","75.0"
"HydrologyCycle","Evapotranspiration","MODIS","ctsm51fates_derecho_norman_nocomp","Spatial Distribution Score","MeanState","global","score","1","0.890328","75.0"
